legal_name,purpose
Stoll Immobilien GmbH,Entwicklung und Vermarktung von Immobilien einschließlich der Tätigkeit als Erschließungs- und Bauträger
Pflegeteam Jakob GmbH,Betrieb einer Tagespflege
E.V.A. Internationale Immobilienvermittlungs GmbH,Die Vermittlung von Immobilien aller Art im Inland und im Ausland.
Thia UG (haftungsbeschränkt),Gegenstand des Unternehmens ist das Erbringen von IT-Dienstleistungen.
Tronicware GmbH,der Handel mit und die Installation von Klimaanlagen.
LKW PETRU GmbH,Transport von Gütern aller Art
typo print GmbH,"Gestaltung und Herstellung von Satz-, Lithos- und Druckereierzeugnissen aller Art."
Yan Cao GERMANY INVEST & CONSULT GmbH,"Die Beteiligung an Unternehmen und deren Verwaltung sowie das Management von Hotel- und Beherbergungs- sowie Gastronomiebetrieben, der Betrieb von Hotel- und Beherbergungsbetrieben, die Führung von gastronomischen Betrieben, die Erbringung von gastronomischen Dienstleistungen, Consultingdienstleistungen in der Hotellerie- und Gastronomiebranche mit spezifischen Zuschnitt auf den Tourismus zwischen Deutschland und China sowie der Erwerb und die Verwaltung von Immobilien in Deutschland."
CTN GmbH,Die Bearbeitung von Werkstoffen insbesondere Metalle und Kunststoff.
Jan Pikula GmbH,"Der Akustikbau, der Trockenbau, die Altbausanierung, die Bauunternehmung, die Erschließung von Grundstücken, die Bauträger- und Baubetreuer-Tätigkeiten sowie Hausmeisterdienste und alle damit verbundenen Tätigkeiten."
AK Diskont Markt Verwaltungs-GmbH,"Die Beteiligung an anderen Unternehmen und die Führung ihrer Geschäfte, insbesondere die Beteiligung als persönlich haftende Gesellschafterin an der AK Diskont Markt GmbH & Co KG und die Führung ihrer Geschäfte."
Surplus Systems GmbH,die Entwicklung und der Vertrieb von Kunststoffprodukten im In- und Ausland.
P 4 Projektentwicklung und Bauträger GmbH,"Projektentwicklung im Immobilienbereich, insbesondere Erwerb, Aufbereitung und Veräußerung von Grundstücken und Immobilien, sowie die Bebauung von Grundstücken und deren Verkauf als Bauträger, des weiteren die Vermittlung von Finanzierungen und die Tätigkeit als Immobilienmakler, jeweils im Inland sowie im Ausland. Die Ausführung aller mit dem Unternehmensgegenstand verbundenen handwerklichen Tätigkeiten erfolgt durch die Vergabe der Arbeiten an Fremdfirmen."
Stabiltransport Beteiligungs GmbH,"Beteiligung an der sowie die Übernahme der Geschäftsführung als persönlich haftende Gesellschafterin der Stabiltransport GmbH & Co. KG mit dem Sitz in Elmshorn, die Vornahme aller damit im Zusammenhang stehenden Geschäfte sowie die Förderung des Unternehmenszwecks der vorgenannten Kommanditgesellschaft innerhalb ihres Unternehmensgegenstandes, nämlich der Lieferung und Montage von Möbeln."
6 P GmbH,"Entwicklung und Vertrieb von Software in den Bereichen Automobil, Bau, Biologie und mobile Geräte, sowie Erbingen von Beratungs- und Dienstleistungen in den Bereichen IT und Digitalisierung."
Gratl und Co. Main - Kinzig - Fassaden und Gebäudereinigung Gesellschaft mit beschränkter Haftung,"Die Reinigung von Fassaden und Gebäudereinigung sowie der Groß- und Einzelhandel mit Reinigungsmitteln, Reinigungsmaschinen und -gerätschaften."
Projektgesellschaft Stählinweg 14 GmbH,Tätigkeit als Bauträger
HBM Kartonagen- und Handels- GmbH,"Herstellung von Wellpappkartonagen, Durchführung von Verpackungsleistungen, Handel mit Verpackungsmitteln und Halbzeugen aller Art."
Meyer Landhandels GmbH,"der Handel mit und die Vermittlung von Agrarerzeugnissen, Baustoffen, Brennstoffen und Pflanzenschutzmitteln. Die Gesellschaft kann gleichartige oder ähnliche Unternehmungen erwerben, sicn an solchen beteiligen, deren Vertretung übernehmen und Zweigniederlassungen errichten."
forster Behälter- und Apparatebau GmbH,"Gegenstand der Gesellschaft ist Herstellung, Vertrieb, Vermietung und Verpachtung von Maschinen und Geräten aller Art sowie die Herstellung und Lieferung von Anlagen und Maschinen zur Glaserzeugung. Gegenstand der Gesellschaft ist weiterhin Herstellung, Vertrieb, Vermietung und Verpachtung von Behältern bzw. Apparaten im industriellen Bereich."
Stagedecks GmbH,"Die Führung eines Onlineshops zum Vertrieb von Podesten, Bühnen und Traversen."
Riedel GmbH,"Einzelhandel mit Lebensmitteln, Nonfood, Zeitungen, Zeitschriften, Büchern, Drogerie-, Reformartikeln und sonstigem supermarktüblichen Sortiment, Blumen."
TEGO Fisch GmbH,"der Handel mit Fisch, Meeresfrüchten und Lebensmitteln aller Art"
"Projekt Aktiengesellschaft für Entwicklung, Steuerung und Überwachung von Bauprojekten","Entwicklung, Steuerung und Überwachung von Grundstücks- und Bauprojekten sowie diesbzügliche Beratung, ferner Bauträgertätigkeit, Baubetreuung und Vermittlung von Grundstücken, Gebäuden und Wohnraum."
HGS Fahrzeugbau GmbH,"Ersatz- und Einzelteilhandel für Fahrzeuge und Fahrzeugaufbauten, Durchführung von Reparaturen an Fahrzeugkomponenten, Aufbauten für Nutzfahrzeuge, Vertrieb, Überprüfung und Reparatur aller Maschinen, Hydraulik- und Pneumaanlagen im Hause und beim Kunden, Fertigung von Ersatzteilen sowie Sonderanfertigungen, Erstellung von Ölanalysen sowie Filtrierung des vorhandenen Ölbestandes, Anlagenkonstruktionen (Neuanlagen sowie Änderungen vorhandener Anlagen)"
Entsorgung-Nord UG (haftungsbeschränkt),"Gegenstand des Unternehmens ist die Durchführung von Entsorgungs-, Abbruch- und Räumungsleistungen exklusive erlaubnisoder genehmigungspflichtiger Tätigkeiten."
EIC European Investor Conference for the Seniors Housing & Care Industry GmbH,"Die Erbringung von Beratungsleistungen, Forschung, Analysen sowie die Durchführung von Konferenzen in den Bereichen des Gesundheitswesens, des Pharmawesens sowie des Immobilienwesens."
S & R Südhessen Rhein-Main Immobilien GmbH,"Vermittlung und der Nachweis der Gelegenheit zum Abschluß von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnräume oder Darlehen sowie die Vermittlung von Finanzierungen."
GESITEL Gesellschaft für internationale Telekommunikationsdienste mbH,"Betreiben von nationalen und internationalen Value Added Networks (VANs) sowie Teilen davon einschließlich der Einrichtung, Erweiterung und Wartung zur Vermarktung an Kunden."
Baltic Grundstücks UG (haftungsbeschränkt),"der Erwerb, die Veräußerung und die Verwaltung von bebautem und unbebautem Grundbesitz, ausgenommen erlaubnispflichtige Tätigkeiten"
Anhaltinische Glas- & Gebäudereinigung Paul Eschholz GmbH,"Betrieb eines Gebäudereiniger- Unternehmens im weitesten Sinn, d.h. die Durchführung der Gebäude- Glas-, Büro-, Industrie-, Fassaden-, Teppich-, Fußboden- , Lüftungsanlagen-, Bau-Reinigung, sowie jede andere Tätigkeit, die dem jeweiligen Berufsbild des Gebäudereiniger- Handwerks entspricht; Betrieb eines Wachund Sicherheitsunternehmens im weitesten Sinne, d.h. die Bewachung von fremdem Leben und Eigentum, die Durchführung von Sicherheitsmaßnahmen jeglicher Art sowie die Übernahme des Schutzes von Transporten aller Art, insbesondere von Transporten von Geld, Wertsachen aller Art, Wertpapieren und dergleichen; Organisation und Durchführung von Sicherheitsmaßnahmen einschließlich des Werkschutzes in Betrieben aller Art, insbesondere der Industrie; Organisation und Durchführung von innerbetrieblichen oder überbetrieblichen Schulungsmaßnahmen auch im Bereich des Sicherheitstrainings"
Gasversorgung Zirndorf GmbH,Gegenstand des Unternehmens ist die Gasversorgung der Stadt Zirndorf im derzeitigen und künftigen politischen Gebiet der Stadt Zirndorf.
Landschafts- und Kabelbau Granegger GmbH,"Gegenstand des Unternehmens ist die Freihaltung, Pflege, Montage und Demontage von Elektroanlagen und Gartengestaltung."
Secundus Advisory GmbH,"Gegenstand des Unternehmens ist die Anlagevermittlung und Anlageberatung auf Grund des § 2 Abs. 10 KWG (erlaubnisfrei) in Verbindung mit § 34f Abs. 3 Nr. 4 GewO (erlaubnisfrei), gemäß Registrierung bei der BaFin als vertraglich gebundener Vermittler ausschließlich unter der Haftung eines Einlageninstituts oder Wertpapierhandelsunternehmens mit Sitz im Inland oder eines nach § 53b Abs.1 Satz 1 oder Abs. 7 KWG tätigen Unternehmens."
Sportpark Elz GmbH,"die Einrichtung und der Betrieb von Fitnessund Sportstudios sowie Sportstätten jeder Art nebst den dazugehörigen Dienstleistungsange-boten wie Gesundheitstherapie, Bewegungstherapie, Schmerztherapie, Rücken- und Gelenktherapie, Firmenfitness, betriebliches Gesundheitsmanagement, Physiotherapie, Gesundheitsdiagnostik, Massage, Yogaschule, Personal Training, Sauna und Wellness, Vermietung und Verpachtung von Trainingsräumen, Gastronomie, Handel mit genehmigungspflichtigen Waren aller Art, soweit sie im Zusammenhang mit dem übrigen Gesellschaftszweck ste-hen, Schulungen und Vorträge."
Prime Project No. 10 Verwaltungs GmbH,"Erwerb, Halten und Verwaltung von Beteiligungen, sowie Übernahme der Geschäftsführung bei Handelsgesellschaften"
Kurier- und Zustellservice Hase GmbH,"Kurier- und Zustellservice (Päckchen, Pakete, Kleinwarensendungen)"
Zimmermann Beteiligungs- und Verwaltungs-GmbH,"Die Beteiligung an anderen Gesellschaften, insbesondere die Beteiligung als persönlich haftende Gesellschafterin an der Zimmermann Grundbesitz- und Vermögensverwaltungs-GmbH & Co. KG mit dem Sit in 57072 Siegen, die Vornahme aller damit im Zusammenhang stehenden Geschäfte sowie die Förderung des Unternehmenszwecks der vorgenannten Kommanditgesellschaft innerhalb deren Unternehmensgegenstandes, nämlich des Erwerbs und der Verwaltung, insbesondere der Vermietung oder Verpachtung von Immobilien und sonstigen Gegenständen des Anlagevermögens."
Auktionshaus City Nord im Hause Dr. Greve GmbH,"Handel mit Waren aller Art, insbesondere Auktionsgeschäfte im Hause Dr. Greve."
ANTORA GmbH,"Die Verwaltung des eigenen Vermögens, insbesondere der Erwerb und die Veräußerung von Grundstücken und Gebäuden, Wertpapiere, Aktien und Gesellschaftsbeteiligungen sowie bei Grundstücken und Gebäuden, deren Vermietung und Verpachtung."
Bayer PV-Anlagen-Betreiber Zossen UG (haftungsbeschränkt),Der Betrieb von Photovoltaik-Anlagen.
GBS Gebäudemanagement GmbH,"das Betreuen, Instandsetzen und Instandhalten von Gebäuden."
BLR GmbH,"Der An- und Verkauf, die Vermietung und die Verwaltung von Immobilien, immobiliengleichen Rechten, Immobilienberatungen für Europa."
Schneestern Management GmbH,"Die Verwaltung eigenen Vermögens, insbesondere die Beteiligung an anderen Unternehmen und die Übernahme von deren persönlicher Haftung und Geschäftsführung."
Jinsheng Management GmbH,Beteiligung als persönlich haftende Gesellschafterin an einer Kommanditgesellschaft.
AE Management UG (haftungsbeschränkt),"Trockenbau, Altbausanierung, Garten- und Landschaftsbau, Betrieb von Gaststätten, Durchführung von Reinigungsarbeiten sowie Fliesenarbeiten und Auftragsvermittlung in diesen Bereichen."
AMBICIA GmbH,"Gegenstand geändert, nun: Eingehen und Verwalten von Beteiligungen im eigenen Namen und eigenen Interesse, insbesondere von Unternehmensbeteiligungen aller Art."
Escape Technology GmbH,Groß- und Einzelhandel mit Informationstechnologien.
Signium International Interim Executives GBM GmbH,"Die Beratung von Wirtschaftsunternehmen, Behörden und sonstigen Institutionen im Inund Ausland und in diesem Zusammenhang auch die Mitwirkung bei der Suche und Auswahl von Führungskräften"
Fruit & More GmbH,"Die Herstellung von alkoholischen und nicht alkoholischen Misch-getränken, die Abfüllung und der Vertrieb. Auch der eigene Ausschank und Verkauf dieser Getränke und von Getränken aller Art sowie Lebensmitteln ist Gegenstand des Unternehmens."
Altmann Verwaltungs GmbH,Verwaltung eigenen Vermögens sowie die Beteiligung an Kommanditgesellschaften als Komplementärin.
BBR Gesellschaft für Beratung Betreuung mbH Steuerberatungsgesellschaft,Die für Steuerberatungsgesellschaften gesetzlich und berufsrechtlich zulässigen Tätigkeiten gem. StBerG.
Weber & Weber Heizung und Sanitär GmbH,"Der Verkauf und die Installation von Heizung, Lüftung und Sanitär jeglicher Art."
Bittner Verwaltungs GmbH,"Übernahme der Geschäftsführung und Beteiligung als persönlich haftende Gesellschafterin bei der Bittner GmbH & Co. KG, die Spenglerei-, Heizungsbau- und Installationsarbeiten aller Art zum Gegenstand hat, ferner Verwaltung eigenen Vermögens."
Reetz Zweite Biogas Betriebs GmbH,"Die Errichtung und der Betrieb einer Biogasanlage sowie die Akquirierung, Behandlung und Verarbeitung naturbelassener Biomasse auf Basis nachwachsender Rohstoffe. Dazu kann die Gesellschaft Stoffe vom Markt annehmen, handeln und deren Verarbeitung veranlassen."
Höll Feine Fleisch- und Wurstwaren Abwicklungs-GmbH,"die Herstellung von Fleisch- und Wurstwaren jeglicher Art, die Verwertung aller in einer Fleischwarenfabrik anfallenden Nebenprodukte, der Handel mit Schlachtvieh, Fleisch und sämtlichen in der Fleischwarenbranche benötigten Waren sowie der Großhandel mit Därmen und Gewürzen"
Staubsauger Service Hamm UG (haftungsbeschränkt),der Handel mit und die Reparatur von gebrauchten Vorwerk-Staubsaugern.
Mario-Graf Recycling GmbH,"Der Handel mit Abfällen, Schrott und Metallen, der Gebäudeabbruch, die Beratung im Abfall- und Recyclingbereich, der Handel und Verleih von Maschinen, der Betrieb einer Brech- und Klassieranlage, die Holzaufbereitung sowie die Erstellung von Betonformstücken."
Herrmann & Klein GmbH,"Der Handel mit Kraftfahrzeugen und Ersatzteilen, die Reparatur von Kraftfahrzeugen, die Vermietung von Fahrzeugen, sowie die Vermittlung von Darlehen zur Finanzierung der abgeschlossenen Warenverkäufe."
Musikfest Erzgebirge Unternehmergesellschaft (haftungsbeschränkt),"Planung, Organisation und Durchführung eines Landschaftsmusikfestivals"
JH Asia Food GmbH,"Groß- und Einzelhandel mit Lebensmitteln aller Art, soweit nicht eine Genehmigungspflicht dafür besteht."
Salm Energy GmbH,"Gegenstand des Unternehmens ist die Sportförderung und -vermarktung sowie beratende Tätigkeiten aller Art, soweit diese nicht kraft Gesetz erlaubnispflichtig sind."
Barnert & Company GmbH,"Vermittlung von Immobilien, Darlehen und Kapitalanlagen nach § 34 c GewO sowie damit verbundene Beratungstätigkeiten, Vermittlung von Versicherungen, betriebswirtschaftliche Beratung."
Sven Bieler Kapitalgesellschaft mbH,die Verwaltung des eigenen Vermögens
Spotlight Veranstaltungstechnik GmbH,Vermietung und Verkauf von Veranstaltungstechnik sowie Planung und Durchführung von Veranstaltungen.
Refugium Beelitz Pavillon A 4 Grundstücksgesellschaft mbH,"Erwerb, Entwicklung, Vermarktung und Verkauf eigenen Grundbesitzes und grundstücksgleicher Rechte, insbesondere der Teilfläche A4 aus dem Flurstück 458 in der Flur 1 der Gemarkung Beelitz; Vermittlung des Abschlusses oder Nachweis der Gelegenheit zum Abschluss von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnräume und Darlehen; Vorbereitung oder Durchführung von Bauvorhaben als Bauherr im eigenen Namen für eigene Rechnung oder fremde Rechnung unter Verwendung von Vermögenswerten von Erwerbern, Mietern, Pächtern oder sonstigen Nutzungsberechtigten oder von Bewerbern um Nutzungsrechte."
